0	[PAD]	[ P A D ]
1	[UNK]	[ U N K ]
2	[CLS]	[ C L S ]
3	[SEP]	[ S E P ]
4	[MASK]	[ M A S K ]
5	宋江	宋 江
6	两个	两 个
7	一个	一 个
8	李逵	李 逵
9	武松	武 松
10	只见	只 见
11	如何	如 何
12	那里	那 里
13	去了	去 了
14	林冲	林 冲
15	军马	军 马
16	哥哥	哥 哥
17	说道	说 道
18	头领	头 领
19	吴用	吴 用
20	太尉	太 尉
21	了一	了 一
22	众人	众 人
23	智深	智 深
24	戴宗	戴 宗
25	这里	这 里
26	听得	听 得
27	出来	出 来
28	小人	小 人
29	梁山	梁 山
30	见了	见 了
31	兄弟	兄 弟
32	俊义	俊 义
33	卢俊义	卢 俊 义
34	梁山泊	梁 山 泊
35	这个	这 个
36	今日	今 日
37	先锋	先 锋
38	妇人	妇 人
39	燕青	燕 青
40	不得	不 得
41	宋江道	宋 江 道
42	人马	人 马
43	好汉	好 汉
44	起来	起 来
45	花荣	花 荣
46	不知	不 知
47	便是	便 是
48	问道	问 道
49	如此	如 此
50	王庆	王 庆
51	晁盖	晁 盖
52	看时	看 时
53	不是	不 是
54	三个	三 个
55	石秀	石 秀
56	将军	将 军
57	却是	却 是
58	因此	因 此
59	那妇人	那 妇 人
60	且说	且 说
61	我们	我 们
62	官人	官 人
63	杨志	杨 志
64	不曾	不 曾
65	甚么	甚 么
66	只是	只 是
67	鲁智深	鲁 智 深
68	不敢	不 敢
69	次日	次 日
70	看了	看 了
71	柴进	柴 进
72	二十	二 十
73	一面	一 面
74	呼延	呼 延
75	叫道	叫 道
76	都是	都 是
77	当下	当 下
78	呼延灼	呼 延 灼
79	来到	来 到
80	如今	如 今
81	的人	的 人
82	听了	听 了
83	太公	太 公
84	原来	原 来
85	公孙	公 孙
86	秦明	秦 明
87	正是	正 是
88	山寨	山 寨
89	弟兄	弟 兄
90	这厮	这 厮
91	天子	天 子
92	兄长	兄 长
93	公孙胜	公 孙 胜
94	便道	便 道
95	喝道	喝 道
96	史进	史 进
97	只得	只 得
98	和尚	和 尚
99	张顺	张 顺
100	大喜	大 喜
101	吃了	吃 了
102	关胜	关 胜
103	军士	军 士
104	朱仝	朱 仝
105	阮小	阮 小
106	一齐	一 齐
107	知府	知 府
108	性命	性 命
109	里面	里 面
110	笑道	笑 道
111	是个	是 个
112	商议	商 议
113	张清	张 清
114	城中	城 中
115	公人	公 人
116	李俊	李 俊
117	上山	上 山
118	前面	前 面
119	小弟	小 弟
120	将来	将 来
121	那厮	那 厮
122	庄客	庄 客
123	杨雄	杨 雄
124	四个	四 个
125	东京	东 京
126	一声	一 声
127	前来	前 来
128	怎地	怎 地
129	下山	下 山
130	那个	那 个
131	随即	随 即
132	那人	那 人
133	在此	在 此
134	下来	下 来
135	小喽	小 喽
136	不要	不 要
137	许多	许 多
138	大官人	大 官 人
139	兵马	兵 马
140	西门	西 门
141	答道	答 道
142	那汉	那 汉
143	背后	背 后
144	洒家	洒 家
145	收拾	收 拾
146	却说	却 说
147	小喽啰	小 喽 啰
